start	end	text
0	7000	Hoy hay un nuevo proyecto que va a ser una comunidad de Skull
7000	15000	en donde queremos enseñar a las personas a cómo utilizarla ella pero va a ser un contenido que nadie hace
15000	21000	no va a ser lo típico, vamos a enfocarnos mucho en Cloud Code y en Open Cloud
21000	28000	que nadie en España lo está haciendo evidentemente, tocaremos en el 8N, principios de la ella, generación de imágenes con ella, videos y demás
28000	37000	pero necesito que apuntes este proyecto, ahora mismo yo tengo Lit Magnet que es cada persona que me comentan un vídeo
37000	45000	yo le paso un enlace para que se registre y me deje sus datos en este caso su nombre y su correo electrónico
45000	51000	y por qué fuente me ha conocido y todos esos voy generando una base de datos que es un Lit Magnet
51000	56000	y todas esas personas luego habrá que hacerles una campaña de hoy e iniciamos la comunidad
56000	63000	tienes que pensar ofertas de lanzamiento, plazas limitadas y a partir de esas plazas se suba el precio
63000	70000	hay que planear el contenido que queremos hacer, apunta este proyecto, te lo en cuenta y también vas a tener que empezar a trabajar sobre el vale
70000	75000	todas las preguntas que tengas sobre el proyecto me las vas haciendo de forma proactiva
75000	79000	yo estaré encantado de responderte todo para que saquemos el trabajo lo mejor posible
