start	end	text
0	5000	Necesito que vayas investigando comunidades de Skull en España
6000	10000	y hay automatizaciones, ahora que están haciendo, cuáles son las que más están ganando
12000	15000	y luego también me definas el proceso de venta
15000	20000	especialmente también vas a tener que planificar todos los contenidos relacionados con Open Cloud Code
20000	22000	vas a tener que buscar información en Twitter, en YouTube
22000	26000	tus propios conocimientos para montar una formación sobre esto
26000	32000	también evidentemente, ahora que tener en cuenta ni 8N, generación de imágenes, Higgs, Phil y demás
32000	36000	pero tienes que empezar a montar un plan, así que monta el plan, desplosa lo entra en tareas
36000	38000	ven metiendo las en el backlog
38000	42000	y le iremos dando forma de todas las preguntas que tengan, no las vas haciendo el modelo de pricing
42000	46000	yo creo que saldrémos al mercado con un pricing de 39 o 49 euros al mes
46000	48000	o 47 euros al mes
48000	54000	durante las primeras almojor 100 o 200 personas y luego subiremos los precios
54000	62000	inicialmente cuando se hará la comunidad ya habrá mucho contenido grabado, muchos recursos
62000	66000	pero periódicamente por lo menos una vez a la semana tendremos que subir un nuevo contenido
66000	70000	entonces eso sería la un poco la idea
