start	end	text
0	5240	te pasaré una lista de módulos y cuando la tenga te diré cuáles son
5240	9360	prioritarios en cuáles queremos detallarlo más y hacerlos más extensos, es
9360	13040	probable que a lo mejor un módulo tenga varios vídeos, esto es importante
13040	19440	considerarlo, en mis vídeos de instar no puedo reutilizar nada porque yo estoy
19440	24400	redirigiendo al lead magnet a través de los vídeos de la serie de de a 1
24400	29200	que eran un departamento de marketing autónomo y demás
29200	34400	no hay un diferenciar con el competidor este instagram, lo estamos
34400	41320	aplicando en el mercado español que no lo está haciendo nadie, hay que tener eso en
41320	56040	cuenta y luego la idea, mira tu cual es la mejor forma de hacer esto pero
56040	62080	teníamos pensado hacer un que en el lanzamiento hubiese cosas gratuitas para
62080	72740	la gente que hubiese contenido de pago para que vayan calentitos directamente a
72740	77680	comprar para dar recursos gratuitos siempre es importante, no tenemos ningún
77680	81120	vídeo grabado o sea no tenemos nada hecho, acabamos de comprar el dominio
81120	91360	futurecreators.ai y no tenemos nada más, el formato va a ser screen
91360	98840	recordings más nosotros enfocándonos a nosotros, no se dime tú más o menos
98840	101920	cuanto debería durar, piensa que luego tendremos que ir creando contenidos
101920	112640	nuevos cada semana, de instagram al mismo tengo que capturar unos 70 leads, no estás
112640	116960	segmentado, o sea solo recopilo el nombre de que fue un tema conocido y el
116960	121680	correo electrónico, el público objetivo es cualquier persona que quiera aprender a
121680	126480	utilizar la idea y adaptarse al futuro, ya te dije un poco que los contenidos que
126480	136320	vamos a tratar, para mí el objetivo mínimo mínimo mínimo es que si salimos el 1 de
136320	145360	abril 1 de junio, es decir 2 meses después tener 200 personas dentro, ese es mi
145360	149400	objetivo principal, entiendo que se puede superar pero ese es mi objetivo conservador,
149400	153840	recuerda que tienes que apuntar a más, tienes que explotar mi facturación como
153840	161520	sea Alfred, entonces yo toca hablar con mis socios, primero los módulos, pero necesito que
161520	167960	me definas un orden y un plan para todo esto, o sea quiero que vayamos poquito a
167960	174840	poco, poquito a poco pero con certeza y piensa que somos dos personas trabajando,
174840	179640	o sea soy yo y mis sociolejandro que también puede ir avanzando cosas, de momento
179640	183200	sólo tenemos el dominio pillado, nada más.
